id,name,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP
1,District 1,147425,0.00921419,0.32293739,0.63320069,0.77365893,0.22634107,0.04376586,0.09510692,0.00481153,0.06068322,0.02558898,110360
2,District 2,144022,-0.01408142,0.29950578,0.65320231,0.73241852,0.26758148,0.06165584,0.12440833,0.00654238,0.05199224,0.03258068,106689
3,District 3,149959,0.02656097,0.46850709,0.48594066,0.78434229,0.21565771,0.04070493,0.10647629,0.00400967,0.04018472,0.03067676,124948
4,District 4,143730,-0.01608034,0.38122227,0.55685163,0.60335652,0.39664348,0.11792489,0.19452047,0.01481545,0.05145969,0.04039799,105228
5,District 5,145259,-0.0056134,0.47175263,0.46529106,0.55639273,0.44360727,0.12090307,0.25396014,0.00854816,0.04130563,0.04629281,111486
