id,name,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP
1,District 1,153341,0.04630629,0.30763796,0.65033686,0.7795684,0.2204316,0.04225913,0.09195691,0.00499662,0.05995081,0.02351963,115478
2,District 2,150756,0.02866781,0.32434812,0.62483684,0.68621563,0.31378437,0.07451158,0.15513748,0.00765195,0.05480282,0.03648698,110560
3,District 3,136117,-0.07121987,0.47117181,0.4832166,0.77994414,0.22005586,0.04174289,0.11073733,0.00374776,0.03812005,0.03243595,112067
4,District 4,151129,0.03121294,0.39974138,0.53705355,0.56885647,0.43114353,0.12818424,0.22074344,0.01493835,0.05139635,0.04100724,109249
5,District 5,141430,-0.03496717,0.44128356,0.50018716,0.64297709,0.35702291,0.0950277,0.19359358,0.00688776,0.03965624,0.04202699,111357
